1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81
0,0,2,0,0,1,0,0,0,0,0,2,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,40,0,21,0,0,0,0,14,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,1,3,0,35,0,0,0,0,45,5,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0
0,0,3,0,0,2,0,0,0,0,2,0,6,0,0,0,0,0,0,0,2,7,0,0,0,0,0,0,0,0,5,0,2,0,0,0,0,0,0,12,0,0,0,4,14,0,2,0,0,0,0,0,0,2,0,0,0,0,3,0,0,20,0,14,0,0,8,0,0,0,15,0,0,0,0,4,3,1,2,0,1
0,0,0,0,1,0,0,10,0,0,3,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,4,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,3,0,2,0,2,0,1,0,0,0,1,1,1,0,1,0,1,1,2,0,1,0,1,1
0,0,3,5,0,1,0,0,0,0,5,0,4,2,0,0,6,4,0,0,6,3,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,1,3,0,0,0,6,0,15,0,0,1,3,5,0,0,0,0,13,0,4,0,0,0,0,4,0,7,3,0,0,0,4,3,0,0,0,5,0,1,8,10,0
3,0,0,0,3,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,3,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,3,4,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,3,2,0,0,0
0,0,0,0,0,2,0,0,0,0,1,0,0,2,0,0,0,5,0,1,1,0,1,0,0,2,0,0,0,5,0,2,1,0,0,0,2,0,0,0,0,0,0,1,0,0,0,1,0,2,5,0,1,0,2,0,0,0,0,0,5,1,0,0,0,0,1,3,0,1,0,0,0,0,0,0,1,0,0,0,0
0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,15,0,0,0,2,0,0,0,0,0,0,0,0,0,5,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,1,0,2,0,15,0,0,0,0,0,0,0,0,3,0,0,0,15,0
0,12,0,0,10,0,18,5,0,5,0,3,0,0,3,0,0,0,5,0,0,0,2,2,0,2,8,3,0,1,0,2,0,0,0,0,8,0,5,0,0,0,0,0,0,2,0,0,0,0,0,0,5,0,0,0,0,0,0,20,0,0,0,0,0,0,0,2,3,0,0,0,3,1,0,0,0,0,2,1,0
0,0,32,0,0,0,0,0,0,0,12,0,4,6,0,0,0,28,0,0,20,8,0,0,0,0,0,0,0,0,4,0,0,0,0,10,0,0,0,14,8,0,0,0,4,0,0,0,0,0,0,9,0,4,0,0,0,0,0,0,0,0,6,6,0,0,2,0,0,0,0,10,0,0,0,12,0,16,0,0,0
0,0,0,0,0,5,0,0,0,0,0,15,0,0,5,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,8,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,25,0,0,0,0,0,0,0,0
